Bin_R1,Bin_R2,Bin_R3,Bin_R4,Bin_R5,Bin_R6,Bin_R7,Bin_R8,Bin_R9,Bin_R10,Bin_R11,Bin_R12,Bin_R13,Bin_R14,Bin_R15,Bin_R16,Bin_R17,Bin_R18,Bin_R19,Bin_R20,Bin_R21,Bin_R22,Bin_R23,Bin_R24,Bin_R25,Bin_R26,Bin_R27,Bin_R28,Bin_R29,Bin_R30,Bin_R31,Bin_R32,Bin_G1,Bin_G2,Bin_G3,Bin_G4,Bin_G5,Bin_G6,Bin_G7,Bin_G8,Bin_G9,Bin_G10,Bin_G11,Bin_G12,Bin_G13,Bin_G14,Bin_G15,Bin_G16,Bin_G17,Bin_G18,Bin_G19,Bin_G20,Bin_G21,Bin_G22,Bin_G23,Bin_G24,Bin_G25,Bin_G26,Bin_G27,Bin_G28,Bin_G29,Bin_G30,Bin_G31,Bin_G32,Bin_B1,Bin_B2,Bin_B3,Bin_B4,Bin_B5,Bin_B6,Bin_B7,Bin_B8,Bin_B9,Bin_B10,Bin_B11,Bin_B12,Bin_B13,Bin_B14,Bin_B15,Bin_B16,Bin_B17,Bin_B18,Bin_B19,Bin_B20,Bin_B21,Bin_B22,Bin_B23,Bin_B24,Bin_B25,Bin_B26,Bin_B27,Bin_B28,Bin_B29,Bin_B30,Bin_B31,Bin_B32,Label
4870.0,1817.0,1893.0,4789.0,9654.0,10630.0,8660.0,6783.0,5642.0,5192.0,5234.0,6047.0,7410.0,10421.0,14192.0,19634.0,25848.0,26196.0,21644.0,14785.0,9773.0,4473.0,2047.0,1050.0,553.0,299.0,200.0,197.0,154.0,123.0,87.0,103.0,4643.0,1715.0,1700.0,5764.0,9554.0,9045.0,7262.0,6049.0,4500.0,3628.0,3381.0,3427.0,3583.0,2688.0,2218.0,2485.0,3055.0,4199.0,6184.0,9602.0,14982.0,21530.0,26890.0,26383.0,20559.0,12843.0,7517.0,2943.0,1158.0,549.0,226.0,138.0,452.0,702.0,988.0,1171.0,1143.0,1021.0,813.0,693.0,673.0,710.0,726.0,653.0,714.0,883.0,1343.0,2356.0,3135.0,4048.0,5265.0,7002.0,10175.0,14730.0,19579.0,23497.0,27821.0,29645.0,27774.0,19375.0,12658.0,6760.0,2427.0,1468.0,ultra red
14690.0,11381.0,11584.0,11123.0,14014.0,37292.0,24924.0,38228.0,30092.0,24260.0,21259.0,15308.0,18605.0,17622.0,17188.0,12022.0,13260.0,16090.0,13152.0,15346.0,15996.0,16845.0,12535.0,20339.0,13337.0,18023.0,17537.0,14373.0,15726.0,20654.0,15383.0,363412.0,23800.0,24625.0,24698.0,29782.0,25905.0,22652.0,21410.0,19841.0,15259.0,16129.0,14213.0,14833.0,16219.0,14318.0,14169.0,14061.0,14680.0,15647.0,16004.0,16451.0,16957.0,17319.0,21570.0,18598.0,18229.0,16827.0,19889.0,22032.0,25154.0,338325.0,21452.0,10552.0,13089.0,7906.0,7487.0,6234.0,5061.0,4317.0,3550.0,3534.0,3713.0,3995.0,4481.0,5050.0,5856.0,5911.0,5569.0,4873.0,4605.0,4493.0,4628.0,4843.0,5452.0,5983.0,6775.0,7678.0,8631.0,9253.0,10136.0,11730.0,15221.0,22175.0,35416.0,673955.0,ultra red
37833.0,1501.0,15466.0,38235.0,44222.0,61365.0,44915.0,39046.0,37809.0,54741.0,47599.0,19225.0,10157.0,11003.0,11853.0,24034.0,19309.0,14427.0,8468.0,5986.0,4708.0,4871.0,4314.0,5482.0,7518.0,10442.0,18595.0,27098.0,25574.0,39381.0,28603.0,2220.0,37874.0,6428.0,34784.0,37243.0,56139.0,45076.0,38375.0,33505.0,29059.0,41561.0,46816.0,29395.0,10430.0,6823.0,7310.0,17573.0,20243.0,18339.0,16378.0,10522.0,5579.0,4680.0,4661.0,5155.0,6609.0,10044.0,17262.0,29236.0,26511.0,35672.0,34681.0,2037.0,37096.0,12049.0,41719.0,41496.0,46854.0,40213.0,31506.0,26517.0,23978.0,24754.0,24245.0,13072.0,5729.0,3918.0,4002.0,7201.0,13035.0,16250.0,14623.0,15268.0,8807.0,8569.0,8156.0,10220.0,11785.0,15617.0,25254.0,39146.0,52872.0,38057.0,53399.0,10593.0,ultra red
10736.0,20707.0,32115.0,45869.0,38958.0,32048.0,26228.0,18088.0,10853.0,7587.0,6092.0,5160.0,4580.0,4397.0,4312.0,4248.0,3873.0,3718.0,3798.0,3717.0,4239.0,5290.0,8907.0,6586.0,4384.0,4170.0,3907.0,4535.0,5823.0,7881.0,6517.0,650677.0,9882.0,22468.0,30172.0,46232.0,42738.0,32320.0,25052.0,17403.0,10285.0,7238.0,5840.0,5132.0,4688.0,4180.0,4162.0,4140.0,3918.0,3796.0,3636.0,3596.0,4105.0,7503.0,7457.0,5100.0,5322.0,4246.0,3685.0,4430.0,5514.0,7639.0,6122.0,651999.0,179.0,715.0,1472.0,2297.0,2710.0,2869.0,2963.0,3157.0,3101.0,2872.0,2896.0,3003.0,3451.0,3997.0,4836.0,5914.0,7003.0,8723.0,10605.0,12524.0,15606.0,25476.0,32196.0,42122.0,45722.0,34959.0,21562.0,11446.0,8486.0,9277.0,9029.0,658832.0,ultra red
3754.0,2669.0,1694.0,1369.0,2699.0,21878.0,22945.0,9218.0,6004.0,5590.0,6376.0,6241.0,5644.0,4182.0,3131.0,2570.0,2619.0,2488.0,2420.0,2433.0,2583.0,2630.0,3009.0,3216.0,2768.0,2952.0,3043.0,2730.0,2389.0,1966.0,2667.0,63823.0,11512.0,26077.0,13659.0,9257.0,7153.0,6156.0,6378.0,5799.0,4991.0,3826.0,2839.0,2413.0,2406.0,2317.0,2306.0,2332.0,2355.0,2299.0,2198.0,2229.0,2365.0,2502.0,2781.0,2675.0,2862.0,2830.0,2654.0,2401.0,2065.0,1908.0,2467.0,63688.0,576.0,866.0,1201.0,1388.0,1423.0,1243.0,1093.0,1072.0,977.0,920.0,880.0,851.0,816.0,777.0,748.0,767.0,792.0,807.0,945.0,1356.0,1967.0,2494.0,3439.0,4888.0,5552.0,6195.0,7004.0,7818.0,9678.0,13701.0,21616.0,105850.0,ultra red
222610.0,87627.0,70002.0,61084.0,56729.0,49614.0,44238.0,39272.0,42165.0,75359.0,107150.0,118918.0,98622.0,59103.0,43177.0,32269.0,27759.0,18670.0,15586.0,12488.0,4351.0,2057.0,1932.0,1888.0,1528.0,1363.0,766.0,170.0,158.0,150.0,266.0,729.0,148794.0,35274.0,30827.0,44663.0,57916.0,57139.0,53474.0,43445.0,39171.0,34504.0,36140.0,39371.0,35530.0,38581.0,50143.0,55809.0,58751.0,66153.0,84882.0,82217.0,57995.0,36974.0,24661.0,21479.0,16175.0,12206.0,10228.0,9011.0,6837.0,7483.0,1265.0,702.0,22460.0,14754.0,9654.0,10303.0,14304.0,20071.0,34352.0,49220.0,58920.0,61617.0,54701.0,41148.0,36393.0,33477.0,28544.0,28119.0,29759.0,31686.0,34786.0,39298.0,42063.0,47093.0,58347.0,59683.0,61366.0,71037.0,73306.0,64224.0,51078.0,27806.0,20162.0,68069.0,ultra red
235.0,350.0,414.0,440.0,594.0,906.0,1577.0,2427.0,3658.0,5288.0,7285.0,6718.0,4546.0,2669.0,1783.0,1411.0,1301.0,1379.0,1371.0,1493.0,1437.0,1361.0,1220.0,1271.0,1154.0,1091.0,1159.0,1143.0,1178.0,1321.0,1937.0,299883.0,1337.0,1236.0,2005.0,3436.0,5286.0,6945.0,5942.0,4337.0,2941.0,2113.0,1622.0,1314.0,1209.0,1211.0,1214.0,1259.0,1221.0,1277.0,1194.0,1179.0,1124.0,1072.0,978.0,993.0,989.0,994.0,980.0,1030.0,1195.0,1258.0,1766.0,299343.0,1.0,1.0,7.0,20.0,48.0,116.0,167.0,217.0,312.0,314.0,391.0,375.0,475.0,462.0,509.0,517.0,566.0,627.0,757.0,961.0,1258.0,1488.0,2019.0,2342.0,2759.0,3320.0,4050.0,4651.0,5633.0,7161.0,8989.0,309487.0,ultra red
28238.0,16335.0,14196.0,20082.0,22304.0,13973.0,9063.0,7351.0,7068.0,5237.0,3661.0,3234.0,2838.0,2693.0,2331.0,1786.0,1614.0,1647.0,1640.0,1441.0,1132.0,1054.0,809.0,619.0,454.0,392.0,316.0,297.0,258.0,218.0,273.0,246.0,5145.0,19845.0,15597.0,7223.0,10120.0,9492.0,4970.0,4063.0,5850.0,8428.0,10802.0,13005.0,8492.0,5321.0,4715.0,6469.0,6768.0,4499.0,3031.0,2830.0,2706.0,2329.0,1703.0,1539.0,1632.0,1538.0,1286.0,972.0,690.0,532.0,510.0,698.0,24.0,410.0,1081.0,1577.0,8510.0,5841.0,3946.0,4062.0,5813.0,5054.0,3269.0,3489.0,3359.0,4464.0,6832.0,9457.0,10206.0,13435.0,7261.0,5492.0,6483.0,8228.0,9655.0,9665.0,6947.0,5525.0,4907.0,4000.0,3312.0,3158.0,3169.0,4169.0,ultra red
0.0,464.0,5791.0,19537.0,100740.0,143925.0,126978.0,91721.0,67522.0,50391.0,37079.0,34428.0,31547.0,30729.0,30534.0,29415.0,28008.0,27606.0,27604.0,28038.0,29635.0,31520.0,37232.0,32266.0,27588.0,5477.0,2288.0,1506.0,1029.0,785.0,641.0,2776.0,6.0,643.0,20147.0,150920.0,173586.0,120612.0,68549.0,47943.0,38921.0,33768.0,30751.0,28791.0,27895.0,25689.0,24194.0,23692.0,21327.0,24316.0,26134.0,26157.0,26027.0,35098.0,34894.0,29174.0,28374.0,5960.0,3714.0,2227.0,995.0,680.0,768.0,2848.0,0.0,1.0,607.0,6290.0,15818.0,17621.0,15347.0,14462.0,15949.0,14833.0,13640.0,14936.0,18474.0,28044.0,72837.0,95495.0,91887.0,106302.0,105563.0,100618.0,82653.0,74493.0,43731.0,46394.0,49275.0,17110.0,6958.0,5007.0,2921.0,1792.0,1597.0,4145.0,ultra red
6307.0,3007.0,2465.0,2346.0,3432.0,12703.0,59528.0,31433.0,17830.0,13173.0,10837.0,8975.0,4563.0,2919.0,2716.0,2804.0,3051.0,2975.0,2984.0,3112.0,3116.0,3543.0,5319.0,8567.0,4353.0,2422.0,1853.0,1468.0,1489.0,1654.0,4575.0,638481.0,7490.0,2876.0,2717.0,9248.0,58232.0,25925.0,17593.0,13016.0,12103.0,10659.0,8938.0,5831.0,3744.0,2596.0,2769.0,2822.0,2923.0,2903.0,2947.0,3029.0,3166.0,4035.0,7636.0,6459.0,2849.0,2148.0,1765.0,1530.0,1370.0,1498.0,3607.0,639576.0,525.0,868.0,958.0,1380.0,2024.0,2377.0,2441.0,2551.0,2494.0,2245.0,1957.0,1816.0,1678.0,1795.0,1708.0,1955.0,2361.0,2804.0,3738.0,4705.0,5550.0,8084.0,11076.0,8075.0,7927.0,13808.0,25312.0,31858.0,35819.0,28353.0,8775.0,646983.0,ultra red
49298.0,10096.0,8656.0,22280.0,86428.0,91728.0,60760.0,35976.0,19839.0,14563.0,13366.0,14178.0,12001.0,10172.0,9216.0,8660.0,7782.0,7311.0,7403.0,8901.0,9077.0,7432.0,8166.0,8341.0,6779.0,4864.0,4960.0,5710.0,7653.0,12400.0,37129.0,310475.0,56107.0,20414.0,68492.0,84157.0,84768.0,38938.0,21828.0,15030.0,13127.0,12460.0,12313.0,11366.0,10126.0,9148.0,9014.0,10277.0,10409.0,14694.0,19509.0,102902.0,42943.0,17081.0,14649.0,15100.0,20702.0,32142.0,29759.0,24106.0,19527.0,22418.0,34754.0,23340.0,144066.0,32131.0,16842.0,25040.0,38047.0,10979.0,20747.0,26814.0,28430.0,28804.0,18824.0,15967.0,18637.0,19303.0,27162.0,19701.0,12383.0,10350.0,13883.0,19347.0,23581.0,28187.0,36131.0,58682.0,100784.0,57519.0,21173.0,8114.0,5751.0,6053.0,8259.0,19909.0,ultra red
33566.0,21618.0,21902.0,36836.0,69694.0,107735.0,78372.0,44721.0,29403.0,23281.0,21309.0,20231.0,20148.0,20756.0,21059.0,21649.0,22133.0,20646.0,20089.0,17407.0,17501.0,15014.0,13479.0,11864.0,11747.0,12931.0,11666.0,11128.0,10843.0,10686.0,11650.0,270436.0,48201.0,34190.0,54347.0,97521.0,96701.0,56745.0,34641.0,25513.0,21768.0,20480.0,19607.0,20204.0,20379.0,20764.0,21680.0,21006.0,19633.0,19334.0,16380.0,15949.0,14958.0,13806.0,11875.0,11092.0,11307.0,12711.0,10887.0,10378.0,10017.0,9390.0,10225.0,269811.0,23303.0,13565.0,8794.0,5746.0,4372.0,3707.0,3210.0,2883.0,2711.0,2750.0,3052.0,3741.0,4773.0,5851.0,7560.0,10344.0,14150.0,20097.0,23967.0,33628.0,46171.0,66876.0,94352.0,94088.0,62528.0,42046.0,31942.0,27741.0,26683.0,27950.0,32326.0,330593.0,ultra red
44.0,624.0,3544.0,14500.0,31287.0,34018.0,10776.0,4636.0,4336.0,4084.0,2743.0,1806.0,1122.0,1293.0,1029.0,838.0,944.0,744.0,647.0,530.0,535.0,609.0,779.0,470.0,427.0,537.0,715.0,356.0,319.0,548.0,1524.0,233636.0,9109.0,40375.0,26352.0,10126.0,5684.0,4275.0,3586.0,3463.0,3864.0,2463.0,1883.0,1558.0,1169.0,1026.0,1043.0,975.0,951.0,728.0,593.0,488.0,474.0,630.0,684.0,441.0,407.0,527.0,622.0,401.0,314.0,555.0,1091.0,234143.0,0.0,4.0,13.0,101.0,397.0,1061.0,2011.0,3383.0,4134.0,2992.0,2514.0,2473.0,2580.0,2351.0,2466.0,2839.0,2949.0,3287.0,3616.0,4183.0,5003.0,5788.0,7078.0,7720.0,8136.0,7976.0,7961.0,8697.0,9214.0,7758.0,4746.0,236569.0,ultra red
512.0,1664.0,9922.0,15610.0,9693.0,5587.0,3693.0,2693.0,2356.0,2173.0,2015.0,1882.0,1589.0,1537.0,1394.0,1336.0,1146.0,1128.0,1044.0,1009.0,1036.0,990.0,859.0,633.0,582.0,751.0,1022.0,1416.0,1010.0,990.0,2076.0,151052.0,920.0,3844.0,16615.0,11018.0,7632.0,4570.0,3175.0,2395.0,2128.0,2072.0,1986.0,1887.0,1746.0,1540.0,1369.0,1311.0,1153.0,1131.0,1014.0,884.0,926.0,883.0,889.0,708.0,779.0,1050.0,1356.0,1105.0,1100.0,1031.0,1410.0,150773.0,4.0,17.0,73.0,174.0,378.0,599.0,762.0,766.0,810.0,724.0,619.0,573.0,660.0,672.0,825.0,1167.0,1609.0,2358.0,4167.0,9224.0,13555.0,9944.0,8035.0,3830.0,2775.0,2435.0,2732.0,2558.0,1779.0,1555.0,2176.0,152845.0,ultra red
