Bin_R1,Bin_R2,Bin_R3,Bin_R4,Bin_R5,Bin_R6,Bin_R7,Bin_R8,Bin_R9,Bin_R10,Bin_R11,Bin_R12,Bin_R13,Bin_R14,Bin_R15,Bin_R16,Bin_R17,Bin_R18,Bin_R19,Bin_R20,Bin_R21,Bin_R22,Bin_R23,Bin_R24,Bin_R25,Bin_R26,Bin_R27,Bin_R28,Bin_R29,Bin_R30,Bin_R31,Bin_R32,Bin_G1,Bin_G2,Bin_G3,Bin_G4,Bin_G5,Bin_G6,Bin_G7,Bin_G8,Bin_G9,Bin_G10,Bin_G11,Bin_G12,Bin_G13,Bin_G14,Bin_G15,Bin_G16,Bin_G17,Bin_G18,Bin_G19,Bin_G20,Bin_G21,Bin_G22,Bin_G23,Bin_G24,Bin_G25,Bin_G26,Bin_G27,Bin_G28,Bin_G29,Bin_G30,Bin_G31,Bin_G32,Bin_B1,Bin_B2,Bin_B3,Bin_B4,Bin_B5,Bin_B6,Bin_B7,Bin_B8,Bin_B9,Bin_B10,Bin_B11,Bin_B12,Bin_B13,Bin_B14,Bin_B15,Bin_B16,Bin_B17,Bin_B18,Bin_B19,Bin_B20,Bin_B21,Bin_B22,Bin_B23,Bin_B24,Bin_B25,Bin_B26,Bin_B27,Bin_B28,Bin_B29,Bin_B30,Bin_B31,Bin_B32,Label
1747.0,1164.0,1072.0,1107.0,1357.0,1759.0,2368.0,3527.0,5012.0,7274.0,11901.0,13346.0,7216.0,3116.0,1772.0,1616.0,1616.0,1701.0,1860.0,2137.0,2437.0,2360.0,2529.0,2598.0,1906.0,2077.0,1595.0,1506.0,1449.0,1242.0,1371.0,10419.0,1930.0,1354.0,1440.0,1735.0,2457.0,3737.0,5406.0,8269.0,12942.0,12900.0,6610.0,2605.0,1515.0,1405.0,1444.0,1407.0,1520.0,1592.0,1858.0,2202.0,2329.0,2269.0,2732.0,1779.0,2072.0,1740.0,1413.0,1426.0,1303.0,995.0,995.0,10776.0,1571.0,711.0,751.0,790.0,722.0,794.0,680.0,586.0,607.0,551.0,490.0,476.0,450.0,458.0,477.0,501.0,573.0,718.0,1051.0,1437.0,1599.0,1856.0,2519.0,2164.0,3106.0,2949.0,2546.0,3053.0,7289.0,23801.0,21688.0,17193.0,ultra red
51448.0,6940.0,5717.0,5782.0,6136.0,7317.0,11758.0,13252.0,9392.0,5838.0,4211.0,4115.0,3420.0,3051.0,2809.0,2796.0,2465.0,2246.0,2239.0,2322.0,2286.0,2303.0,2402.0,2362.0,2243.0,2444.0,2252.0,2881.0,2900.0,3174.0,4592.0,15069.0,96613.0,5816.0,4510.0,4102.0,4093.0,3738.0,3677.0,3352.0,3116.0,2851.0,2721.0,2602.0,2503.0,2341.0,2168.0,2141.0,1957.0,1804.0,1753.0,1891.0,2117.0,2107.0,2100.0,1946.0,2045.0,2081.0,2199.0,2373.0,2955.0,3147.0,3710.0,17633.0,29067.0,2471.0,1975.0,1594.0,1195.0,962.0,902.0,885.0,766.0,762.0,698.0,772.0,794.0,818.0,844.0,928.0,1051.0,1084.0,1137.0,1224.0,1264.0,1482.0,1850.0,2398.0,2778.0,3825.0,5908.0,9591.0,12196.0,14228.0,19516.0,73197.0,ultra red
1.0,295.0,8796.0,17332.0,15510.0,16966.0,23536.0,25803.0,14188.0,8273.0,6162.0,5167.0,4792.0,5473.0,4980.0,4547.0,3784.0,3549.0,3084.0,2982.0,2717.0,2761.0,3049.0,2884.0,2898.0,2876.0,2827.0,2878.0,3188.0,6702.0,5595.0,42155.0,88698.0,8857.0,6871.0,6391.0,6140.0,5903.0,5384.0,4766.0,4901.0,5166.0,5067.0,4761.0,3778.0,3336.0,3122.0,2723.0,2654.0,2468.0,2389.0,2331.0,2312.0,2354.0,2601.0,2671.0,2552.0,2684.0,2889.0,2924.0,2812.0,5622.0,6462.0,44161.0,13166.0,1493.0,1515.0,1761.0,1924.0,2014.0,1364.0,1192.0,1142.0,1125.0,1199.0,1305.0,1163.0,1079.0,1293.0,1447.0,1705.0,2265.0,3165.0,3847.0,5532.0,9301.0,12012.0,13052.0,22392.0,24223.0,30221.0,21593.0,8996.0,9214.0,7584.0,46466.0,ultra red
1337.0,579.0,561.0,588.0,758.0,6160.0,5710.0,4827.0,6577.0,1278.0,1242.0,1184.0,1221.0,1188.0,1141.0,948.0,932.0,879.0,749.0,668.0,583.0,519.0,495.0,424.0,697.0,537.0,677.0,610.0,910.0,496.0,381.0,165.0,1341.0,593.0,670.0,786.0,16673.0,3294.0,1272.0,1087.0,1076.0,1073.0,1066.0,1112.0,1076.0,1162.0,1148.0,1035.0,1049.0,947.0,864.0,828.0,712.0,620.0,567.0,629.0,712.0,530.0,768.0,540.0,942.0,408.0,304.0,137.0,1244.0,349.0,419.0,480.0,454.0,389.0,359.0,315.0,294.0,299.0,287.0,286.0,277.0,321.0,327.0,459.0,655.0,946.0,1037.0,1288.0,1379.0,1873.0,2782.0,3708.0,3970.0,14420.0,2050.0,1467.0,1524.0,683.0,477.0,203.0,ultra red
6228.0,562.0,484.0,497.0,604.0,5852.0,6589.0,3982.0,5210.0,1325.0,1294.0,1278.0,1307.0,1209.0,1230.0,1022.0,952.0,896.0,806.0,689.0,575.0,487.0,463.0,440.0,624.0,520.0,409.0,699.0,455.0,454.0,325.0,103.0,6214.0,603.0,543.0,795.0,15386.0,2757.0,1151.0,1086.0,1065.0,1072.0,1134.0,1159.0,1176.0,1183.0,1180.0,1179.0,1078.0,1001.0,927.0,809.0,760.0,648.0,553.0,605.0,691.0,477.0,398.0,740.0,457.0,419.0,243.0,81.0,6186.0,435.0,335.0,336.0,276.0,350.0,320.0,341.0,329.0,322.0,300.0,288.0,269.0,274.0,317.0,380.0,502.0,766.0,867.0,1082.0,1347.0,1707.0,2840.0,4015.0,4219.0,13386.0,1965.0,1495.0,1131.0,673.0,383.0,134.0,ultra red
1236.0,901.0,629.0,1588.0,6851.0,11063.0,4789.0,3195.0,2540.0,2520.0,1772.0,1448.0,1391.0,1304.0,1104.0,1121.0,1049.0,989.0,838.0,748.0,783.0,833.0,1103.0,958.0,356.0,226.0,214.0,196.0,268.0,243.0,16.0,0.0,2704.0,361.0,3869.0,13402.0,5108.0,2947.0,2172.0,2242.0,1736.0,1453.0,1206.0,1067.0,970.0,1000.0,1130.0,1362.0,1208.0,1112.0,857.0,801.0,890.0,979.0,1272.0,804.0,292.0,280.0,283.0,229.0,275.0,243.0,18.0,0.0,430.0,0.0,76.0,206.0,423.0,931.0,1164.0,953.0,588.0,435.0,434.0,409.0,403.0,407.0,403.0,478.0,785.0,1083.0,1016.0,2092.0,5249.0,7821.0,7029.0,4070.0,3166.0,3948.0,3061.0,1982.0,1138.0,2078.0,14.0,0.0,ultra red
0.0,4613.0,12723.0,52193.0,101956.0,68113.0,80088.0,84013.0,107197.0,254178.0,123064.0,31455.0,48831.0,20861.0,4501.0,20566.0,12543.0,9492.0,8214.0,14430.0,4086.0,16487.0,10950.0,9417.0,21293.0,6606.0,23340.0,15157.0,21760.0,13632.0,41575.0,58926.0,374116.0,63622.0,70724.0,77700.0,77499.0,99322.0,38616.0,49221.0,33676.0,29106.0,22788.0,11638.0,14056.0,5296.0,49235.0,10280.0,7609.0,10097.0,6683.0,11662.0,11238.0,11763.0,9554.0,8251.0,17512.0,11268.0,18678.0,15157.0,21760.0,32208.0,22999.0,58926.0,0.0,4613.0,0.0,4510.0,0.0,6661.0,8581.0,13880.0,49277.0,14959.0,11920.0,9861.0,5684.0,8136.0,2397.0,0.0,7883.0,0.0,7711.0,23862.0,48872.0,75945.0,70465.0,95935.0,136187.0,143135.0,281926.0,117303.0,29373.0,36866.0,71864.0,14454.0,ultra red
21464.0,1132.0,838.0,931.0,1295.0,10258.0,20967.0,3654.0,3500.0,3374.0,3309.0,3210.0,3221.0,3002.0,2749.0,2562.0,2197.0,1950.0,1593.0,1401.0,1180.0,1125.0,972.0,1077.0,895.0,838.0,1234.0,1226.0,1167.0,609.0,340.0,98.0,21464.0,1159.0,867.0,1182.0,25720.0,3838.0,2825.0,2651.0,2623.0,2655.0,2605.0,2847.0,2841.0,2938.0,3018.0,2871.0,2795.0,2608.0,2181.0,1843.0,1613.0,1336.0,1511.0,1136.0,1031.0,912.0,1339.0,1102.0,1035.0,494.0,260.0,68.0,21329.0,985.0,830.0,608.0,550.0,537.0,490.0,518.0,538.0,551.0,549.0,499.0,521.0,683.0,658.0,790.0,918.0,1053.0,1133.0,1180.0,1429.0,2037.0,3653.0,5534.0,11478.0,35110.0,4864.0,2310.0,1163.0,534.0,273.0,63.0,ultra red
638.0,334.0,577.0,551.0,2643.0,8727.0,8238.0,4800.0,2997.0,2914.0,2162.0,1621.0,1654.0,1235.0,1140.0,1180.0,1005.0,890.0,767.0,772.0,670.0,759.0,1042.0,1027.0,625.0,207.0,169.0,185.0,247.0,240.0,24.0,0.0,1515.0,230.0,1015.0,9380.0,8602.0,4533.0,2353.0,2588.0,2030.0,1458.0,1313.0,1172.0,1088.0,1123.0,1312.0,1285.0,1106.0,950.0,841.0,786.0,861.0,834.0,1104.0,1031.0,344.0,253.0,226.0,196.0,254.0,231.0,26.0,0.0,543.0,11.0,72.0,164.0,161.0,646.0,1060.0,1133.0,626.0,438.0,402.0,364.0,386.0,427.0,370.0,518.0,842.0,673.0,1330.0,2644.0,5685.0,7339.0,6321.0,3884.0,3815.0,3002.0,2357.0,1703.0,1245.0,1856.0,23.0,0.0,ultra red
2502.0,407.0,1419.0,3225.0,11305.0,15377.0,9477.0,4281.0,3029.0,2535.0,2353.0,2421.0,2074.0,1865.0,1866.0,1755.0,1643.0,1452.0,1433.0,1505.0,1416.0,934.0,751.0,830.0,323.0,152.0,140.0,154.0,157.0,199.0,262.0,3083.0,2504.0,3145.0,10295.0,11821.0,9740.0,6058.0,3536.0,3018.0,2467.0,2328.0,2204.0,2181.0,1798.0,1793.0,1753.0,1675.0,1496.0,1344.0,1436.0,1471.0,1375.0,909.0,802.0,729.0,304.0,149.0,141.0,151.0,158.0,200.0,262.0,3082.0,2424.0,202.0,212.0,359.0,548.0,690.0,784.0,734.0,741.0,874.0,813.0,838.0,828.0,993.0,1108.0,1208.0,1131.0,1206.0,1450.0,1990.0,2639.0,3217.0,3801.0,4693.0,24419.0,16189.0,1315.0,780.0,449.0,239.0,301.0,3150.0,ultra red
